"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Continent,Region name,Focal Year: EA082 House construction: shape of roof,Code: EA082 House construction: shape of roof,Description: EA082 House construction: shape of roof,Comment: EA082 House construction: shape of roof,Subcase: EA082 House construction: shape of roof,References: EA082 House construction: shape of roof,Variable: Monthly Mean Precipitation (mm),Comment: Monthly Mean Precipitation (mm)
Ethnographic Atlas,Sherente,Sj2,xd1410,Sherente (Sj2),-9.0,-48.0,-9.0,-48.0,xere1240,Xerénte,xer,Nuclear-Macro-Je,SOUTHERN AMERICA,Brazil,1850,8,"Gabled, i.e., with two slopes",,,Nimuendaju(1942); ,140.3541667,
Ethnographic Atlas,Gbagyi,Af28,xd206,Gbari (Af28),10.0,10.0,10.0,10.0,gbar1246,Gbari,gby,Atlantic-Congo,AFRICA,West Tropical Africa,1910,4,Conical,,,Gunn and Conant(1960); ,83.16516667,
Ethnographic Atlas,Wogeo,Ie4,xd818,Wogeo (Ie4),-3.24,144.1,-3.0,144.0,woge1237,Wogeo,woc,Austronesian,ASIA-TROPICAL,Papuasia,1930,8,"Gabled, i.e., with two slopes",,"Dap, Wonevaro district",Hogbin(1935); Hogbin(1938-39); Hogbin(1943); Hogbin(1945); Hogbin(1946a); Hogbin(1946c); ,240.9926667,"Note, estimate is from a point 42 km away (coordinates: -3.62,144.05); data were not available at society's reported location"
Ethnographic Atlas,Serbs,Ch1,xd546,Serbs (Ch1),44.0,20.0,44.0,20.0,serb1264,Serbian,srp,Indo-European,EUROPE,Southeastern Europe,1950,9,"Hipped or pyramidal, i.e., with four slopes",,with special reference to the village of Orasac,Coon(1949); Halpern(1956); Halpern(1957); ,62.54083333,
Ethnographic Atlas,Asben,Cc10,xd488,Asben (Cc10),18.0,8.0,18.0,8.0,tawa1287,Tawallammat Tan Ataram,,Afro-Asiatic,AFRICA,West Tropical Africa,1900,1,Rounded or semi-cylindrical,,,Jean(1909); Joubert(1939); Nicolaisen(1963); Nicolas(1950); Rodd(1926); ,8.353,
Ethnographic Atlas,Gude,Ah36,xd327,Gude (Ah36),10.0,13.0,10.0,13.0,gude1246,Gude,gde,Afro-Asiatic,AFRICA,West Tropical Africa,1920,4,Conical,,,Lembezat(1961); Meek(1931d); ,71.49566667,
Ethnographic Atlas,Tanimbarese,Ic6,xd768,Tanimbarese (Ic6),-8.19,130.96,-8.0,131.0,sela1259,Selaru,slu,Austronesian,ASIA-TROPICAL,Malesia,1930,8,"Gabled, i.e., with two slopes",,,Drabbe(1940); ,167.9226667,
Ethnographic Atlas,Southern Ute,Nd2,xd1152,Southern Ute (Nd2),38.0,-109.0,38.0,-109.0,utee1244,Ute,,Uto-Aztecan,NORTHERN AMERICA,Northwestern U.S.A.,1860,4,Conical,,,Lowie(1924); Hill and Hill(1970); Opler(1940); Gifford(1940); Stewart(1940); Stewart(1942); ,25.83216667,
Ethnographic Atlas,Tehuelche,Sg4,xd1386,Tehuelche (Sg4),-46.0,-70.0,-46.0,-70.0,tehu1242,Tehuelche,teh,Chonan,SOUTHERN AMERICA,Southern South America,1870,5,Semi-hemispherical,,Equestrian,Musters(1871); Bourne(1874); Viedma(1837); Musters(1972); Cooper(1946b); ,9.983666667,
Ethnographic Atlas,Kaoka,Ig20,xd853,Kaoka (Ig20),-9.49,159.82,-10.0,161.0,long1395,Longgu,lgu,Austronesian,ASIA-TROPICAL,Papuasia,1920,8,"Gabled, i.e., with two slopes",,with special reference to the village of Longgu,Hogbin(1965); ,190.1666667,
Ethnographic Atlas,Fon,Af1,xd186,Fon (Af1),7.0,2.0,7.0,2.0,fonn1241,Fon,fon,Atlantic-Congo,AFRICA,West Tropical Africa,1890,9,"Hipped or pyramidal, i.e., with four slopes",,City and environs of Abomey,Skertchley(1874); Tardits and Tardits(1962); Murdock(1934g); Herskovits(1937a); Lombard(1967); Bohannan(1949); Herskovits and Herskovits(1933); Herskovits(1932); Argyle(1966); Herskovits(1938); Mercier(1954); Le Heriss(1911); ,86.84766667,
Ethnographic Atlas,Merina,Eh2,xd688,Merina (Eh2),-19.0,46.0,-19.0,46.0,meri1243,Merina,,Austronesian,AFRICA,Western Indian Ocean,1900,8,"Gabled, i.e., with two slopes",,,Sibree(1880); Grandidier and Grandidier(1908-28); ,97.263,
Ethnographic Atlas,Samburu,Aj29,xd405,Samburu (Aj29),1.0,37.0,1.0,37.0,samb1315,Samburu,saq,Nilotic,AFRICA,East Tropical Africa,1950,2,Dome shaped or hemispherical,,,Spencer(1965); ,66.85866667,
Ethnographic Atlas,Fipa,Ad19,xd86,Fipa (Ad19),-8.0,31.0,-8.0,31.0,fipa1238,Fipa,fip,Atlantic-Congo,AFRICA,East Tropical Africa,1910,8,"Gabled, i.e., with two slopes",,,Popplewell(1937); Wills(1966); Fromm(1912); ,77.35933333,
Ethnographic Atlas,Zazzagawa Hausa,Cb26,xd476,Zazzagawa Hausa (Cb26),11.0,8.0,11.0,8.0,araw1280,Arawa,,Afro-Asiatic,AFRICA,West Tropical Africa,1950,4,Conical,,Zazzagawa of Zaria,Smith(1962); Smith(1965); Dry(1956); Smith(1978); Greenberg(1947); Prothero(1957); Smith(1967); Hill(1972); Greenberg(1946); Smith(1954a); Smith(1955b); Smith(1960); ,83.2425,
Ethnographic Atlas,Tübalulabal,Nc2,xd1118,Tubatulabal (Nc2),39.0,-118.0,39.0,-118.0,tuba1278,Tübatulabal,tub,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1850,2,Dome shaped or hemispherical,,,Voegelin(1938); Gifford(1917); ,9.546166667,
Ethnographic Atlas,Keyu,Aj25,xd401,Keyu (Aj25),0.0,36.0,0.0,36.0,keiy1238,Keiyo,eyo,Nilotic,AFRICA,East Tropical Africa,1920,4,Conical,,,Huntingford(1953b); Massam(1927); ,76.90883333,
Ethnographic Atlas,Sagada,Ia2,xd742,Sagada (Ia2),17.0,121.0,17.0,121.0,nort2877,Northern Kankanay,xnn,Austronesian,ASIA-TROPICAL,Malesia,1950,9,"Hipped or pyramidal, i.e., with four slopes",,,Eggan(1960); Bacdayan(1962); ,253.355,
Ethnographic Atlas,Fore,Ie31,xd809,Fore (Ie31),-6.0,145.0,-6.0,145.0,fore1270,Fore,for,Nuclear Trans New Guinea,ASIA-TROPICAL,Papuasia,1950,4,Conical,,,Berndt(1962); ,169.403,
Ethnographic Atlas,Puyuma,Ia11,xd734,Puyuma (Ia11),23.0,121.0,23.0,121.0,puyu1239,Puyuma,pyu,Austronesian,ASIA-TEMPERATE,Eastern Asia,1930,8,"Gabled, i.e., with two slopes",,,Mabuchi(1960); ,176.4983333,
Ethnographic Atlas,Kutchin,Na20,xd1037,Kutchin (Na20),66.0,-135.0,66.0,-135.0,gwic1235,Gwich'in,gwi,Athapaskan-Eyak-Tlingit,NORTHERN AMERICA,Subarctic America,1880,2,Dome shaped or hemispherical,,with special reference to the Tatlit of Peel River Kutchin,Osgood(1936); Slobodin(1962); ,20.86366667,
Ethnographic Atlas,Walloons,Cg5,xd545,Walloons (Cg5),50.0,5.0,50.0,5.0,wall1255,Walloon,wln,Indo-European,EUROPE,Middle Europe,1950,8,"Gabled, i.e., with two slopes",,,Turney-High(1953); ,69.50033333,
Ethnographic Atlas,Syrians,Cj1,xd586,Syrians (Cj1),36.0,36.0,36.0,36.0,nort3140,North Lebanese Arabic,,Afro-Asiatic,ASIA-TEMPERATE,Western Asia,1950,2,Dome shaped or hemispherical,,with special reference to the village of Tell Toqaan,Sweet(1960); ,70.9445,
Ethnographic Atlas,Ungazikmit,ec14,xd622,Ungazikmit (ec14),64.0,173.0,64.0,173.0,chap1266,Chaplino,,Eskimo-Aleut,ASIA-TEMPERATE,Russian Far East,1880,2,Dome shaped or hemispherical,,those of South-Eastern Chukotka,Menovshchikov(1961); Krupnik(1983); Chlenov(1973); Lopulenko(1980); ,27.08983333,
Ethnographic Atlas,Kimam,Ie18,xd794,Kimam (Ie18),-7.52,138.46,-7.0,138.0,kima1246,Kimaama,kig,Kolopom,ASIA-TROPICAL,Papuasia,1940,3,Beehive shaped with pointed peak,,Bamol Village,Serpenti(1965); ,203.6416667,
Ethnographic Atlas,Vere,Ah32,xd323,Vere (Ah32),9.0,13.0,9.0,13.0,momj1237,Mom Jango,ver,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,4,Conical,,,Meek(1931d); ,82.69566667,
Ethnographic Atlas,Kuba,Ac4,xd66,Kuba (Ac4),-5.0,22.0,-5.0,22.0,bush1247,Bushoong,buf,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1910,8,"Gabled, i.e., with two slopes",,"with special reference to the Bushoong, the central subtribe",Vansina(1954a); Torday and Joyce(1910); Vansina(1962); ,132.2215,
Ethnographic Atlas,Heiltsuk,Nb23,xd1083,Bellabella (Nb23),52.0,-128.0,52.0,-128.0,bell1263,Bella Bella,,Wakashan,NORTHERN AMERICA,Western Canada,1880,8,"Gabled, i.e., with two slopes",,,Drucker(1950); Olson(1955); Boas(1938); ,296.226,
Ethnographic Atlas,Tongans,Ii12,xd878,Tongans (Ii12),-19.74,-175.07,-20.0,-174.0,tong1325,Tonga (Tonga Islands),ton,Austronesian,PACIFIC,Southwestern Pacific,1920,8,"Gabled, i.e., with two slopes",,Pangai,Gifford(1929); Beaglehole and Beaglehole(1941); ,141.4683333,"Note, estimate is from a point 112 km away (coordinates: -19.6,-174.01); data were not available at society's reported location"
Ethnographic Atlas,Waropen,Ie6,xd820,Waropen (Ie6),-2.14,137.23,-2.0,137.0,waro1242,Waropen,wrp,Austronesian,ASIA-TROPICAL,Papuasia,1930,9,"Hipped or pyramidal, i.e., with four slopes",,,Held(1947); ,258.2651667,
Ethnographic Atlas,Ponca,Nf12,xd1232,Ponca (Nf12),43.0,-99.0,43.0,-99.0,ponc1241,Ponca,,Siouan,NORTHERN AMERICA,North-Central U.S.A.,1850,2,Dome shaped or hemispherical,,,Dorsey(1897); Howard(1965b); ,42.551,
Ethnographic Atlas,Comox,Nb14,xd1073,Comox (Nb14),49.72,-124.97,50.0,-125.0,isla1276,Island Comox,,Salishan,NORTHERN AMERICA,Western Canada,1880,8,"Gabled, i.e., with two slopes",,,Barnett(1938); Barnett(1939); Barnett(1955); ,150.7845,
Ethnographic Atlas,Tasiilaq,Na24,xd1040,Angmagsalik (Na24),66.0,-37.0,66.0,-37.0,east2535,East Greenlandic,,Eskimo-Aleut,NORTHERN AMERICA,Subarctic America,1880,8,"Gabled, i.e., with two slopes",,,Thalbitzer(1917-21); Ostermann(1938); Rink(1911); Holm(1911); Thalbitzer(1914); ,67.0375,
Ethnographic Atlas,Mangbetu,Ai11,xd339,Mangbetu (Ai11),3.0,28.0,3.0,28.0,nucl1420,Nuclear Mangbetu,,Central Sudanic,AFRICA,West-Central Tropical Africa,1900,8,"Gabled, i.e., with two slopes",,,Hutereau(1909); Van Overbergh(1909); Czekanowski(1924j); ,133.7456667,
Ethnographic Atlas,Ngarawapum,Ie26,xd803,Ngarawapum (Ie26),-6.0,146.0,-6.0,146.0,adze1240,Adzera,adz,Austronesian,ASIA-TROPICAL,Papuasia,1940,3,Beehive shaped with pointed peak,,,Read(1946); Read(1950); ,170.1133333,
Ethnographic Atlas,Bemba,Ac3,xd55,Bemba (Ac3),-11.0,31.0,-11.0,31.0,town1238,Town Bemba,,Atlantic-Congo,AFRICA,South Tropical Africa,1900,4,Conical,,Zambia branch,Richards(1971); Tardits(1974); Gouldsbury and Sheane(1911); Richards and Tardits(1974); Richards(1939); Richards(1940a); Richards(1940b); Richards(1948); Richards(1950); Richards(1951); Richards(1956); Delhaise(1908); Richards(1968); ,97.91483333,
Ethnographic Atlas,Papel,Ag20,xd256,Pepel (Ag20),12.0,-16.0,12.0,-16.0,pape1239,Papel,pbo,Atlantic-Congo,AFRICA,West Tropical Africa,1930,4,Conical,,,Bernatzik(1933); ,140.8308333,
Ethnographic Atlas,Nunuma,Ag42,xd280,Nunuma (Ag42),12.0,-3.0,12.0,-3.0,sout2795,Southern Nuni,nnw,Atlantic-Congo,AFRICA,West Tropical Africa,1910,7,Flat or horizontal,,,Tauxier(1912); Tauxier(1924b); ,73.573,
Ethnographic Atlas,Mogh,Ei9,xd715,Mogh (Ei9),20.49,92.64,20.0,92.0,rakh1245,Rakhine,rki,Sino-Tibetan,ASIA-TROPICAL,Indo-China,1880,8,"Gabled, i.e., with two slopes",,,Lévi-Strauss(1952); Bessaignet(1958); ,337.1121667,
Ethnographic Atlas,Lenca,Sa12,xd1312,Lenca (Sa12),14.0,-88.0,14.0,-88.0,lenc1242,Lenca-Honduras,,Lencan,SOUTHERN AMERICA,Central America,1948,9,"Hipped or pyramidal, i.e., with four slopes",,,Stone(1948); ,143.816,
Ethnographic Atlas,Chekiang,Ed15b,xd643,Chekiang (Ed15b),31.0,120.0,31.0,120.0,wuch1236,Wu Chinese,wuu,Sino-Tibetan,ASIA-TEMPERATE,China,1936,8,"Gabled, i.e., with two slopes",,"Kaihsienkung Village, Chekiang",Lang(1946); Smith(1970); Fei(1946); Fried(1953); Linebarger et al.(1956); Ch'ien(1967); ,101.9773333,
Ethnographic Atlas,Potawatomi,Na42,xd1059,Potawatomi (Na42),44.0,-85.0,44.0,-85.0,pota1247,Potawatomi,pot,Algic,NORTHERN AMERICA,Northeastern U.S.A.,1760,2,Dome shaped or hemispherical,,Prairie Potawatomi,Kinietz(1940d); Skinner(1924); Quimby(1940); Searey(1965); ,60.35266667,
Ethnographic Atlas,Orokaiva,Ie9,xd823,Orokaiva (Ie9),-9.0,148.0,-9.0,148.0,orok1269,Orokaiva,okv,Nuclear Trans New Guinea,ASIA-TROPICAL,Papuasia,1920,9,"Hipped or pyramidal, i.e., with four slopes",,,Williams(1930); Waddell and Krinks(1968); Reay(1953); Williams(1928); ,216.4533333,
Ethnographic Atlas,Futajalonke,Ag6,xd294,Futajalonke (Ag6),11.0,-13.0,11.0,-13.0,pula1262,Pular,fuf,Atlantic-Congo,AFRICA,West Tropical Africa,1890,4,Conical,,,Durand(1929); Vieillard(1939); Vieillard(1940); ,169.161,
Ethnographic Atlas,Paraujano,Sb5,xd1330,Paraujano (Sb5),11.0,-72.0,11.0,-72.0,para1316,Paraujano,pbg,Arawakan,SOUTHERN AMERICA,Northern South America,1950,8,"Gabled, i.e., with two slopes",,,Jahn(1914); Wilbert(1959c); ,77.92433333,
Ethnographic Atlas,Yanomami,Sd9,xd1361,Yanomamo (Sd9),2.0,-65.0,2.0,-65.0,yano1261,Yanomamö,guu,Yanomam,SOUTHERN AMERICA,Northern South America,1965,4,Conical,,Shamatari Tribe; Bisaasi-teri,Chagnon(1967); Chagnon(1968a); Chagnon(1968b); ,244.7775,
Ethnographic Atlas,Nkundo,Ae4,xd160,Nkundo (Ae4),0.0,20.0,0.0,20.0,nkun1238,Nkundo,,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1930,8,"Gabled, i.e., with two slopes",,Ilanga group,Hulstaert(1938); Hulstaert(1971); Boelaert(1940); Van der Kerken(1944); Schebesta(1936); Brepoels(1930); Gutersohn(1920); ,160.6793333,
Ethnographic Atlas,Shona,Ab18,xd19,Shona (Ab18),-19.0,31.0,-19.0,31.0,shon1251,Shona,sna,Atlantic-Congo,AFRICA,South Tropical Africa,1920,4,Conical,,with special reference to the Zezuru,Holleman(1952); Prost(1956); Bullock(1928); Kuper(1955); Seed(1932-33); ,65.95933333,
Ethnographic Atlas,French Canadians,Cf5,xd540,French Canadians (Cf5),47.0,-72.0,47.0,-72.0,stan1290,Standard French,fra,Indo-European,NORTHERN AMERICA,Eastern Canada,1930,8,"Gabled, i.e., with two slopes",,,Miner(1939); ,90.68366667,
Ethnographic Atlas,Nomlaki,Nc1,xd1107,Nomlaki (Nc1),39.0,-122.0,39.0,-122.0,wint1259,Wintu,wit,Wintuan,NORTHERN AMERICA,Southwestern U.S.A.,1850,4,Conical,,,Goldschmidt(1951); ,42.3325,
Ethnographic Atlas,Aua,Ig13,xd845,Aua (Ig13),-1.74,142.85,-2.0,143.0,wuvu1239,Wuvulu-Aua,wuv,Austronesian,ASIA-TROPICAL,Papuasia,1900,8,"Gabled, i.e., with two slopes",,,Hambruch(1907); Pitt-Rivers(1925); ,241.4281667,"Note, estimate is from a point 36 km away (coordinates: -1.62,142.55); data were not available at society's reported location"
Ethnographic Atlas,Iwa,Ad15,xd82,Iwa (Ad15),-10.0,32.0,-10.0,32.0,nyam1275,Nyamwanga,mwn,Atlantic-Congo,AFRICA,South Tropical Africa,1900,4,Conical,,,Willis(1966); Chisholm(1910); Wilson(1958); Coxhead(1914); ,87.97833333,
Ethnographic Atlas,Wadaduka,Nd41,xd1176,Wadaduka (Nd41),41.0,-116.0,41.0,-116.0,west2622,Western Shoshoni,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1870,4,Conical,,,Steward(1938); Steward(1941); ,23.746,
Ethnographic Atlas,Huchnom,Nc16,xd1114,Huchnom (Nc16),39.0,-123.0,39.0,-123.0,yuki1243,Yuki,yuk,Yuki-Wappo,NORTHERN AMERICA,Southwestern U.S.A.,1860,4,Conical,,,Gifford(1922d); Foster(1944); ,81.08633333,
Ethnographic Atlas,Hazara,Ea3,xd602,Hazara (Ea3),35.0,66.0,35.0,66.0,haza1239,Hazaragi,haz,Indo-European,ASIA-TEMPERATE,Western Asia,1930,7,Flat or horizontal,,with special reference to the Urazgani,Bacon(1958); Wilber(1956); Hudson and Beacon(1941); Schurmann(1962); ,30.014,
Ethnographic Atlas,Lida Shoshoni,Nd34,xd1168,Lida Shoshoni (Nd34),37.0,-117.0,37.0,-117.0,west2622,Western Shoshoni,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1870,4,Conical,,,Steward(1938); Steward(1941); ,11.75716667,
Ethnographic Atlas,Angami,Ei13,xd700,Angami (Ei13),26.0,94.0,26.0,94.0,anga1288,Angami Naga,njm,Sino-Tibetan,ASIA-TROPICAL,Indian Subcontinent,1910,8,"Gabled, i.e., with two slopes",,,Hutton(1921a); ,175.6196667,
Ethnographic Atlas,Wadatkuht,Nd26,xd992,Wadatkuht (Nd26),41.0,-120.0,41.0,-120.0,sout2967,South Northern Paiute,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1870,2,Dome shaped or hemispherical,,,Riddell(1960); ,32.1105,
Ethnographic Atlas,Koranko,Ag24,xd260,Koranko (Ag24),9.0,-11.0,9.0,-11.0,kura1250,Kuranko,knk,Mande,AFRICA,West Tropical Africa,1910,4,Conical,,,Chevalier(1909); Kamara and Drummond(1930); Thomas(1916); ,194.7216667,
Ethnographic Atlas,Hasania,Cb4,xd481,Hasania (Cb4),14.0,32.0,14.0,32.0,khar1296,Khartoum,,Afro-Asiatic,AFRICA,Northeast Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Reid(1930); ,20.97733333,
Ethnographic Atlas,Huron,Ng1,xd1244,Huron (Ng1),44.0,-78.0,44.0,-78.0,wyan1247,Wyandot,wya,Iroquoian,NORTHERN AMERICA,Eastern Canada,1640,1,Rounded or semi-cylindrical,,Bear and Cord Subtribes,Tooker(1964); Kinietz(1940a); Trigger(1969); ,69.256,
Ethnographic Atlas,Sirionó,Se1,xd1362,Siriono (Se1),-16.0,-64.0,-16.0,-64.0,siri1273,Sirionó,srq,Tupian,SOUTHERN AMERICA,Western South America,1940,9,"Hipped or pyramidal, i.e., with four slopes",,Vicinity of the Rio Blanco,Holmberg(1950); ,157.4086667,
Ethnographic Atlas,Sundi,Ac18,xd42,Sundi (Ac18),-5.0,14.0,-5.0,14.0,suun1239,Suundi,sdj,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1910,8,"Gabled, i.e., with two slopes",,,Soret(1959); Hutereau(1910b); Laman(1953); Even(1931); ,107.7266667,
Ethnographic Atlas,Gusii,Ad12,xd79,Gusii (Ad12),-1.0,35.0,-1.0,35.0,gusi1247,Gusii,guz,Atlantic-Congo,AFRICA,East Tropical Africa,1940,4,Conical,,,Mayer(1965); Le Vine(1959); Mayer(1949); Mayer(1950); Mayer(1953); ,87.37083333,
Ethnographic Atlas,Kisama,Ab21a,xd23,Kisama (Ab21a),-10.0,14.0,-10.0,14.0,sama1300,Sama (Angola),smd,Atlantic-Congo,AFRICA,South Tropical Africa,1930,3,Beehive shaped with pointed peak,,,Magyar(1859); Mattenklodt(1944); ,49.5765,
Ethnographic Atlas,Panguitch,Nd50,xd1186,Panguitch (Nd50),38.0,-112.0,38.0,-112.0,utee1244,Ute,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1860,4,Conical,,,Kelly(1964); ,25.87,
Ethnographic Atlas,Telugu,Eg10,xd673,Telugu (Eg10),18.0,79.0,18.0,79.0,telu1262,Telugu,tel,Dravidian,ASIA-TROPICAL,Indian Subcontinent,1950,8,"Gabled, i.e., with two slopes",,with special reference to the village of Shamirpet,Dube(1955); Guha(1931); Karve(1953); ,71.09033333,
Ethnographic Atlas,Shilluk,Ai6,xd380,Shilluk (Ai6),10.0,32.0,10.0,32.0,shil1265,Shilluk,shk,Nilotic,AFRICA,Northeast Tropical Africa,1900,4,Conical,,Shilluk Kingdom,Dempsey(1955); Seligman and Seligman(1932); Evans-Pritchard(1948); Hofmayr(1925); Lienhardt(1954); Westermann(1912); Pumphrey(1941); Butt(1952b); Howell(1941); Cann(1929); ,66.28416667,
Ethnographic Atlas,Semang,Ej3,xd725,Semang (Ej3),5.0,101.0,5.0,101.0,kens1248,Kensiu,kns,Austroasiatic,ASIA-TROPICAL,Malesia,1920,6,"Shed, i.e., with one slope",,Jehai Group or subtribe,Schebesta(1952-57); Murdock(1934h); Schebesta(1927); Le Bar et al.(1964d); Evans(1937); ,266.4345,
Ethnographic Atlas,Tigrinya,Ca3,xd437,Tigrinya (Ca3),14.0,39.0,14.0,39.0,tigr1271,Tigrinya,tir,Afro-Asiatic,AFRICA,Northeast Tropical Africa,1950,4,Conical,,,Nadel(1946); Munzinger(1864); Fischer(1957b); ,48.61716667,
Ethnographic Atlas,Santal,Ef1,xd661,Santal (Ef1),24.0,87.0,24.0,87.0,sant1410,Santali,sat,Austroasiatic,ASIA-TROPICAL,Indian Subcontinent,1940,8,"Gabled, i.e., with two slopes",,Bankura and Berghum Districts,Culshaw(1949); Das(1967); Mukherjea(1943); Datta-Majumder(1956); ,117.6533333,
Ethnographic Atlas,Ainu,Ec7,xd635,Ainu (Ec7),44.0,144.0,44.0,144.0,ainu1240,Ainu (Japan),ain,Ainu,ASIA-TEMPERATE,Eastern Asia,1900,8,"Gabled, i.e., with two slopes",,Saru Basin in Hokkaido,Hilger(1971); Murdock(1934j); Watanabe(1964); Sugiura and Befu(1962); Batchelor(1895); Batchelor(1927); Sutherland(1948); Cornell(1964); Munro(1962); ,101.7826667,
Ethnographic Atlas,Tupuri,Ai20,xd349,Tuburi (Ai20),10.0,15.0,10.0,15.0,tupu1244,Tupuri,tui,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1910,4,Conical,,,Lembezat(1961); Lamouroux(1913); ,70.67516667,
Ethnographic Atlas,Barabra,Cd1,xd507,Barabra (Cd1),23.0,33.0,23.0,33.0,kenu1236,Kenuzi-Dongola,kzh,Nubian,AFRICA,Northern Africa,1920,7,Flat or horizontal,,Kenuzi Nubians of Dahmit,Callender and el Guindi(1971); Herzog(1957); Kennedy(1977); Fernea(1966); SchAfer(1935); ,1.248666667,
Ethnographic Atlas,Toposa,Aj24,xd400,Topotha (Aj24),5.0,34.0,5.0,34.0,topo1242,Toposa,toq,Nilotic,AFRICA,Northeast Tropical Africa,1930,3,Beehive shaped with pointed peak,,,Gulliver and Gulliver(1953); Nalder(1937); ,54.84316667,
Ethnographic Atlas,Ngala,Ae28,xd147,Ngala (Ae28),1.0,18.0,1.0,18.0,ling1263,Lingala,lin,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1900,8,"Gabled, i.e., with two slopes",,,Burssens(1958); Van Overbergh(1907a); Weeks(1909-10); Weeks(1913); ,142.7335,
Ethnographic Atlas,Sivokakmeit,Na11,xd1028,Sivokakmeit (Na11),63.34,-170.3,63.0,-170.0,aiwa1238,Aiwanat,,Eskimo-Aleut,NORTHERN AMERICA,Subarctic America,1920,4,Conical,,,Hughes(1958); Hughes(1960); Moore(1923); ,46.07683333,
Ethnographic Atlas,Cágaba,Sb2,xd1327,Cagaba (Sb2),11.0,-74.0,11.0,-74.0,cogu1240,Cogui,kog,Chibchan,SOUTHERN AMERICA,Western South America,1940,4,Conical,,,Park(1946); Reichel-Dolmatoff(1949-51); ,130.4761667,
Ethnographic Atlas,Maguzawa,Cb1,xd458,Maguzawa (Cb1),12.0,10.0,12.0,10.0,kano1249,Kano,,Afro-Asiatic,AFRICA,West Tropical Africa,1940,4,Conical,,,Greenberg(1946); Greenberg(1947); ,52.9575,
Ethnographic Atlas,Kalaallit (West Greenland),Na25,xd1041,Greenlanders (Na25),68.66,-51.22,69.0,-53.0,west2617,West Greenlandic,,Eskimo-Aleut,NORTHERN AMERICA,Subarctic America,1910,8,"Gabled, i.e., with two slopes",,with special reference to the inhabitants of the Egesminde District,Rink(1877); Egede(1818); Saabye(1818); Cranz(1767); Porsild(1915); Birket-Smith(1924); Nansen(1893); Bugge(1952); ,18.07833333,
Ethnographic Atlas,Marshallese,If17,xd832,Marshallese (If17),6.28,169.49,6.0,169.0,rata1243,Ratak,,Austronesian,PACIFIC,Northwestern Pacific,1900,8,"Gabled, i.e., with two slopes",,with special reference to the island of Jaluit,Erdland(1914); Spoehr(1949); ,229.6338333,"Note, estimate is from a point 45 km away (coordinates: 5.87,169.51); data were not available at society's reported location"
Ethnographic Atlas,Ho,Ef4,xd666,Ho (Ef4),22.0,85.0,22.0,85.0,hooo1248,Ho,hoc,Austroasiatic,ASIA-TROPICAL,Indian Subcontinent,1920,8,"Gabled, i.e., with two slopes",,,Chatterjee and Das(1927); Majumdar(1937); ,104.412,
Ethnographic Atlas,Bisharin,Ca5,xd453,Bisharin (Ca5),20.0,35.0,20.0,35.0,bish1251,Bisharin,,Afro-Asiatic,AFRICA,Northeast Tropical Africa,1930,4,Conical,,,Murry(1935); Sandars(1933); Clark(1938); ,4.7355,
Ethnographic Atlas,Ekonda,Ae20,xd139,Ekonda (Ae20),-2.0,18.0,-2.0,18.0,ekon1238,Ekonda Mongo,,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1940,8,"Gabled, i.e., with two slopes",,,Muller(1956); Philippe(1954); Brown(1944); Van der Kerken(1944); Gilliard(1925); ,129.7688333,
Ethnographic Atlas,Yergum,Ah22,xd312,Yergum (Ah22),9.0,10.0,9.0,10.0,taro1263,Tarok,yer,Atlantic-Congo,AFRICA,West Tropical Africa,1900,4,Conical,,,Ames(1934); Fitzpatrick(1910); Meek(1931a); Temple(1922); Meek(1931d); ,94.284,
Ethnographic Atlas,Konjo,Ad44,xd114,Konjo (Ad44),-1.0,30.0,-1.0,30.0,konz1239,Konzo,koo,Atlantic-Congo,AFRICA,East Tropical Africa,1920,3,Beehive shaped with pointed peak,,,Taylor(1962); Czekanowski(1924f); ,72.16116667,
